GEO_ID,NAME,S1901_C01_001E,S1901_C01_001M,S1901_C01_002E,S1901_C01_002M,S1901_C01_003E,S1901_C01_003M,S1901_C01_004E,S1901_C01_004M,S1901_C01_005E,S1901_C01_005M,S1901_C01_006E,S1901_C01_006M,S1901_C01_007E,S1901_C01_007M,S1901_C01_008E,S1901_C01_008M,S1901_C01_009E,S1901_C01_009M,S1901_C01_010E,S1901_C01_010M,S1901_C01_011E,S1901_C01_011M,S1901_C01_012E,S1901_C01_012M,S1901_C01_013E,S1901_C01_013M,S1901_C01_014E,S1901_C01_014M,S1901_C01_015E,S1901_C01_015M,S1901_C01_016E,S1901_C01_016M,S1901_C02_001E,S1901_C02_001M,S1901_C02_002E,S1901_C02_002M,S1901_C02_003E,S1901_C02_003M,S1901_C02_004E,S1901_C02_004M,S1901_C02_005E,S1901_C02_005M,S1901_C02_006E,S1901_C02_006M,S1901_C02_007E,S1901_C02_007M,S1901_C02_008E,S1901_C02_008M,S1901_C02_009E,S1901_C02_009M,S1901_C02_010E,S1901_C02_010M,S1901_C02_011E,S1901_C02_011M,S1901_C02_012E,S1901_C02_012M,S1901_C02_013E,S1901_C02_013M,S1901_C02_014E,S1901_C02_014M,S1901_C02_015E,S1901_C02_015M,S1901_C02_016E,S1901_C02_016M,S1901_C03_001E,S1901_C03_001M,S1901_C03_002E,S1901_C03_002M,S1901_C03_003E,S1901_C03_003M,S1901_C03_004E,S1901_C03_004M,S1901_C03_005E,S1901_C03_005M,S1901_C03_006E,S1901_C03_006M,S1901_C03_007E,S1901_C03_007M,S1901_C03_008E,S1901_C03_008M,S1901_C03_009E,S1901_C03_009M,S1901_C03_010E,S1901_C03_010M,S1901_C03_011E,S1901_C03_011M,S1901_C03_012E,S1901_C03_012M,S1901_C03_013E,S1901_C03_013M,S1901_C03_014E,S1901_C03_014M,S1901_C03_015E,S1901_C03_015M,S1901_C03_016E,S1901_C03_016M,S1901_C04_001E,S1901_C04_001M,S1901_C04_002E,S1901_C04_002M,S1901_C04_003E,S1901_C04_003M,S1901_C04_004E,S1901_C04_004M,S1901_C04_005E,S1901_C04_005M,S1901_C04_006E,S1901_C04_006M,S1901_C04_007E,S1901_C04_007M,S1901_C04_008E,S1901_C04_008M,S1901_C04_009E,S1901_C04_009M,S1901_C04_010E,S1901_C04_010M,S1901_C04_011E,S1901_C04_011M,S1901_C04_012E,S1901_C04_012M,S1901_C04_013E,S1901_C04_013M,S1901_C04_014E,S1901_C04_014M,S1901_C04_015E,S1901_C04_015M,S1901_C04_016E,S1901_C04_016M
id,Geographic Area Name,Estimate!!Households!!Total,Margin of Error!!Households!!Total,"Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more",Estimate!!Households!!Median income (dollars),Margin of Error!!Households!!Median income (dollars),Estimate!!Households!!Mean income (dollars),Margin of Error!!Households!!Mean income (dollars),Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Estimate!!Families!!Total,Margin of Error!!Families!!Total,"Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more",Estimate!!Families!!Median income (dollars),Margin of Error!!Families!!Median income (dollars),Estimate!!Families!!Mean income (dollars),Margin of Error!!Families!!Mean income (dollars),Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Estimate!!Married-couple families!!Total,Margin of Error!!Married-couple families!!Total,"Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more",Estimate!!Married-couple families!!Median income (dollars),Margin of Error!!Married-couple families!!Median income (dollars),Estimate!!Married-couple families!!Mean income (dollars),Margin of Error!!Married-couple families!!Mean income (dollars),Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Estimate!!Nonfamily households!!Total,Margin of Error!!Nonfamily households!!Total,"Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more",Estimate!!Nonfamily households!!Median income (dollars),Margin of Error!!Nonfamily households!!Median income (dollars),Estimate!!Nonfamily households!!Mean income (dollars),Margin of Error!!Nonfamily households!!Mean income (dollars),Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months
8600000US07001,ZCTA5 07001,5022,207,7.1,3,0.8,0.9,7.6,2.8,7.4,2.6,9.8,3.3,21.2,4.7,17.3,4.4,17.7,4.2,6.3,2.2,4.9,2,69849,6935,83439,6725,41.3,(X),(X),(X),(X),(X),3573,251,3.6,2,0,1,4.6,2.7,6.3,3,9.9,4,21.9,5.8,17.9,5.1,20.3,4.9,8.8,3.1,6.6,2.9,79235,6603,95823,8864,(X),(X),41.8,(X),(X),(X),2701,255,2.3,2,0,1.3,2.4,2,6,3.3,5.8,3,23.3,6.8,18.1,6,22.5,6.5,10.7,3.8,8.7,3.8,89931,14726,N,N,(X),(X),(X),(X),(X),(X),1449,239,15.7,8.9,2.8,3.2,16.1,7.2,10,5.4,10.4,5.3,19.3,7.2,14.1,8,10.6,7.6,0,2.4,0.8,1.3,41647,8704,50050,8502,(X),(X),(X),(X),38,(X)
8600000US07002,ZCTA5 07002,24967,565,6.9,1.2,4.4,1.2,8.5,1.1,8.6,1.4,11,1.4,17.9,1.7,11.7,1.6,15.9,1.8,8.2,1.3,7.1,1.1,63947,3227,85201,3293,41.6,(X),(X),(X),(X),(X),16040,431,3.4,1,1.9,0.8,7.2,1.5,8.6,1.6,10.6,1.7,18,2.4,12.6,2.3,18.5,2.2,10.6,1.6,8.6,1.4,75887,5225,98226,4220,(X),(X),43.9,(X),(X),(X),10908,503,1.5,0.8,1.4,0.7,4.9,1.6,6.9,1.8,7.8,1.8,18.6,2.7,13.7,2.8,21,2.8,13.3,2.2,11,1.8,91541,5158,111781,5103,(X),(X),(X),(X),(X),(X),8927,656,13.5,2.5,8.9,2.7,13.2,2.2,8.5,2.2,12.1,2.4,19.2,3.3,9.4,2,9.2,2.1,3.4,1.4,2.7,1.3,42818,5155,55403,3676,(X),(X),(X),(X),35.7,(X)
8600000US07003,ZCTA5 07003,18577,500,4.5,1,2.9,0.8,6.7,1.3,6.9,1.4,8.2,1.3,18.7,1.9,15.3,1.8,18.7,2,8.7,1.2,9.5,1.2,78034,4053,96799,3931,33.5,(X),(X),(X),(X),(X),11560,360,2.4,0.9,1.8,0.9,3.9,1.1,5.4,1.4,6.7,1.5,16.8,2.6,16.5,2.3,22,2.4,11.6,1.9,13,1.8,94206,5440,113544,5092,(X),(X),36.2,(X),(X),(X),8158,390,0.6,0.4,0.6,0.6,3,1.3,2.4,0.9,5.4,1.5,14.4,2.5,16.6,2.5,26.5,2.9,12.9,2.3,17.6,2.5,110664,5457,N,N,(X),(X),(X),(X),(X),(X),7017,516,8.9,2.2,4.8,1.6,11.1,2.8,9.9,3.2,11,2.9,22.6,2.9,13,2.5,12.6,2.5,3.5,1.1,2.6,0.9,53720,2413,64875,4351,(X),(X),(X),(X),28.4,(X)
8600000US07004,ZCTA5 07004,2621,155,1,1.7,1.9,2.1,2,2.3,8.2,5.7,4.6,3.8,8.8,4.1,10.2,5,22,7.1,16.3,5.6,24.9,6.1,122063,15944,156170,19515,42.7,(X),(X),(X),(X),(X),2190,170,0,1.6,0,1.6,0,1.6,8.7,6.6,3.2,3.8,9,4.8,9.2,4.9,24.2,7.9,17.1,5.8,28.6,7.5,138000,30449,172517,22387,(X),(X),44,(X),(X),(X),1944,202,0,1.8,0,1.8,0,1.8,9.8,7.3,1.7,2.9,6.7,4.2,6.9,4.5,24.5,8,19.2,6.5,31.1,8.6,151094,28946,N,N,(X),(X),(X),(X),(X),(X),431,176,6.3,10.1,11.8,13.1,12.1,13.8,5.8,9.5,11.8,13.6,12.5,12.8,15.3,22.4,6.3,9.9,12.3,15.7,5.8,9.1,55792,28072,70688,25678,(X),(X),(X),(X),36.4,(X)
8600000US07005,ZCTA5 07005,5489,241,2.5,1.2,0.6,0.5,5.2,2.2,7,2.3,9.9,2.4,11.7,2.9,9.8,2.4,18.8,3.1,12.1,2.3,22.4,2.8,111946,10521,140825,8476,30.2,(X),(X),(X),(X),(X),3854,173,1.1,0.9,0,0.9,3.1,2.2,6.3,2.8,8.2,2.9,10.5,3.1,7.3,2.6,22,4,14.8,3,26.7,3.9,130958,7306,161909,11940,(X),(X),30.4,(X),(X),(X),3025,201,0.5,0.6,0,1.1,2.2,1.6,2.6,2.1,6,2.5,9,3.4,7.2,2.7,21.6,4.4,17.1,3.5,33.9,4.9,151135,12956,N,N,(X),(X),(X),(X),(X),(X),1635,230,5.7,4,2.1,1.7,10.3,4.4,8.6,4.1,13.9,4.4,17.1,6.1,14.9,5.4,11.6,4.4,5.2,2.9,10.6,4.7,59718,11717,86355,11448,(X),(X),(X),(X),28.6,(X)
8600000US07006,ZCTA5 07006,9576,277,3,1,1.6,0.7,3.8,1.2,4.4,1.2,6.6,1.5,11,2.2,9,1.8,19,2.7,12,2.3,29.5,2.6,127921,7071,166981,10348,34.5,(X),(X),(X),(X),(X),6557,238,0.9,0.6,0.4,0.5,1,0.7,2,1.2,3.9,1.4,9.3,2.4,8,2.3,20.1,3.1,15.6,3.2,38.7,3.8,160324,8730,197758,13061,(X),(X),33.3,(X),(X),(X),5565,257,0.5,0.5,0.5,0.6,1,0.8,1.6,1.1,3.1,1.4,7.3,2.3,5.9,2.2,18.7,2.9,17.7,3.8,43.7,4.1,178025,17916,N,N,(X),(X),(X),(X),(X),(X),3019,308,8.2,3.1,4.2,1.7,10.1,3.3,9.5,3.2,12.4,3.4,15.3,3.8,11.8,2.7,15.8,5,4.5,2.2,8.2,3.1,60154,11665,93971,20136,(X),(X),(X),(X),36.3,(X)
8600000US07008,ZCTA5 07008,7925,360,6.4,2.7,3.8,1.8,7.5,2.5,8.3,2.1,9.2,2.6,16,3.8,19.3,3.8,17.1,3.4,6.2,2.3,6.2,2.2,73347,8097,81950,6069,49.4,(X),(X),(X),(X),(X),5865,272,2.8,2.4,2.8,2.7,7.6,3,9.2,2.9,8.2,3,16.2,4.3,21.1,4.7,18.1,4.3,7,2.4,7.1,2.7,78134,3702,88602,7123,(X),(X),50.2,(X),(X),(X),4127,320,0.8,0.8,2.4,2.9,5.5,2.8,6.6,2.8,8.2,3.4,14.3,5,20.8,5.7,22.7,5.4,9.4,3.2,9.2,3.6,86470,10141,N,N,(X),(X),(X),(X),(X),(X),2060,365,16.8,6.4,6.6,3.4,10.1,3.8,7.8,3.6,11.5,5.7,12.2,5.3,17.4,6.6,11,5.7,4.1,4.4,2.4,3.3,43814,15835,57960,10352,(X),(X),(X),(X),44.2,(X)
8600000US07009,ZCTA5 07009,4530,150,2.5,1.9,1,0.8,5.4,2.2,4.9,1.9,5.9,2.1,9.5,3.3,10,2.6,19.8,3.3,15,3.3,25.9,3.8,123768,9875,152417,11776,35.5,(X),(X),(X),(X),(X),3222,158,0.4,0.5,0.3,0.4,0.5,0.6,2.9,1.9,3,1.4,7,3.5,9,3.2,23.9,4.4,18.3,4.2,34.6,5.5,159048,13522,185417,15372,(X),(X),37.3,(X),(X),(X),2878,182,0.5,0.5,0.4,0.5,0.3,0.4,2.6,1.9,2.5,1.6,5.2,2.9,8.1,3.6,24,4.8,18.3,4.6,38,5.9,166167,12567,N,N,(X),(X),(X),(X),(X),(X),1308,174,7.7,6.7,2.8,2.7,17.5,7.6,9.6,5,13.1,5.7,15.6,7.2,12.6,5.1,9.7,5.2,7.9,4.5,3.5,3,49511,10128,69773,14325,(X),(X),(X),(X),30.2,(X)
8600000US07010,ZCTA5 07010,10512,394,7.9,2,2.5,1.2,9.2,2.5,8.8,2.5,10.9,2.4,11.7,2.7,11.2,2.3,16.3,3,9.6,2.5,11.9,2.4,72633,8722,105349,7803,41.4,(X),(X),(X),(X),(X),6975,300,4.5,2,2.1,1.6,7.9,2.8,8.1,2.8,8.5,3.5,12.9,3.8,12,2.9,17.8,4.1,11.3,3.1,14.8,3.1,87621,9229,116302,9871,(X),(X),41.4,(X),(X),(X),5159,347,2.9,2.1,2.2,2,6.4,2.9,8.9,3.4,5.6,2.7,10.2,4.2,12.4,3.2,20.5,4.9,11.7,3.6,19.1,4.4,103048,14486,N,N,(X),(X),(X),(X),(X),(X),3537,455,17.2,5.1,3.3,1.9,11.6,4.6,9.2,3.6,14.6,4.8,12,4.8,9.1,3.4,12,4.4,4.7,2.5,6.2,3,43819,4666,79690,15379,(X),(X),(X),(X),38.7,(X)
8600000US07011,ZCTA5 07011,12649,371,5.1,1.7,4.7,1.5,9.7,1.8,9.4,2,12.4,2.2,17.7,2.6,11.9,1.9,18.1,2.4,6.1,1.4,4.9,1.1,59519,4056,78089,3866,44.8,(X),(X),(X),(X),(X),9558,404,2.6,1.4,2.6,1.3,7.4,2,7.8,1.8,13.6,2.8,19.6,3.4,14.2,2.3,19.5,2.9,7.9,1.8,4.9,1.5,67695,5421,85024,4803,(X),(X),45.2,(X),(X),(X),5779,483,1.4,1.3,1.1,1,6.2,2.7,6.1,2,12.1,2.8,17.7,3.5,16.1,3.1,24.6,4,8.9,2.2,5.7,1.7,85250,7946,N,N,(X),(X),(X),(X),(X),(X),3091,414,12.6,6.2,13,4.6,17.8,4.8,15.3,5.3,13,5.1,9.9,3.8,7.1,3.2,7.2,3,0.9,0.8,3.1,2,27075,6331,47708,7536,(X),(X),(X),(X),35.5,(X)
8600000US07012,ZCTA5 07012,4578,214,2.4,1.8,2.8,1.5,9.9,3,7.4,2.7,7.3,2.8,16.9,4.3,14.4,3.6,20,3.8,10.6,2.9,8.2,3,81361,9806,97892,8353,30.4,(X),(X),(X),(X),(X),3040,232,0.9,1.4,1.4,1.6,5.3,3.4,4.8,2.8,6.9,3.7,15.3,4.6,16.4,4.6,24.2,4.9,13.5,3.9,11.2,4.2,97339,9656,116330,11402,(X),(X),30.3,(X),(X),(X),2408,240,0,1.4,1.8,2,5.7,4.1,2.7,2.3,4.5,2.9,14.3,4.6,16.3,5.4,25.5,5.6,15.9,4.7,13.2,5.1,107805,13274,N,N,(X),(X),(X),(X),(X),(X),1538,174,5.5,4.3,5.5,3,19.4,7.1,12.5,6,8.4,4.2,20.4,6.5,9.4,4.5,12,6.1,5.1,2.9,1.8,2.2,48468,13119,60327,8175,(X),(X),(X),(X),30.6,(X)
8600000US07013,ZCTA5 07013,10011,336,3.9,1.4,4.3,1.9,6.9,1.8,5.4,1.6,7,2,11.7,2.4,15,2.7,23.4,2.6,10.9,1.9,11.4,2.3,92312,4595,107338,6026,32.1,(X),(X),(X),(X),(X),6785,327,1.3,0.9,0.9,0.8,2.8,1.1,3.3,1.3,5.5,2.3,11.2,3,16.6,3.4,29.7,3.5,13.8,2.6,15,3.2,111775,8022,129408,7801,(X),(X),34.9,(X),(X),(X),5237,325,1.4,1,0.8,0.9,1.6,1.1,2.7,1.5,3.2,1.7,9.9,2.8,15.4,3.9,31,3.9,15.9,2.9,18,3.7,123010,7399,N,N,(X),(X),(X),(X),(X),(X),3226,331,9.4,3.8,11.7,5,15.5,5.3,10.5,4.1,10.7,3.8,13.5,3.8,11.4,3.6,10,3.2,3.8,2.6,3.5,1.8,38892,5501,58276,6701,(X),(X),(X),(X),26.3,(X)
8600000US07014,ZCTA5 07014,1844,153,1.4,1.6,4.9,3.9,0.8,1.3,6.5,4.8,8.2,5.7,17.1,6.3,16.2,6.1,19.8,6.8,14.9,6.5,10.2,5.3,89349,16024,106922,13590,32.5,(X),(X),(X),(X),(X),1290,174,0,2.7,5.3,5.1,0,2.7,5.6,5.7,8.9,7.7,17.7,8.6,15.2,7.2,22.4,8.9,14.8,7.7,10.1,6.4,96463,16234,109798,15022,(X),(X),33,(X),(X),(X),1069,190,0,3.2,0,3.2,0,3.2,6.7,7,9.3,9.2,21.3,9.8,11.5,6.2,23.9,9.9,15.2,8.5,12.2,7.8,103301,16979,N,N,(X),(X),(X),(X),(X),(X),554,141,4.5,5.4,3.8,6,2.7,4.3,8.7,8.1,6.7,6.8,15.7,9.8,18.4,11,13.7,8.7,17,14.3,8.8,9.1,81389,22416,99652,25487,(X),(X),(X),(X),31.4,(X)
8600000US07016,ZCTA5 07016,8894,261,2.2,1.3,2,1,4.8,1.6,5.1,1.6,4.4,1.4,10.6,1.5,11.1,2.1,17.2,2,16.4,2.1,26.3,2.3,129781,10092,153949,7816,31.6,(X),(X),(X),(X),(X),6426,195,0.4,0.4,0.7,0.7,1.3,0.8,1.7,0.8,3.8,1.6,8.6,1.9,11.2,2.6,17.6,2.5,21.1,2.7,33.7,3.2,158457,8309,180813,9338,(X),(X),29.7,(X),(X),(X),5421,190,0.2,0.4,0,0.6,1.3,0.9,1.3,0.8,2.8,1.4,6.8,1.8,10.8,2.8,18.2,2.8,20.8,3.2,37.7,3.9,167763,6368,N,N,(X),(X),(X),(X),(X),(X),2468,242,7.3,4.7,5.2,2.9,14,5.3,14.1,5.2,6,3,17.7,4.4,10.5,3.7,15.5,3.6,3.8,2,5.9,2.5,51786,6351,79538,12285,(X),(X),(X),(X),36.6,(X)
8600000US07017,ZCTA5 07017,13167,535,7.4,1.5,5.9,1.5,12,1.8,11.3,1.8,14.7,2.5,19,2.4,11.7,1.7,11.7,2.2,3.9,1.1,2.3,0.8,48673,2970,62700,3994,58.4,(X),(X),(X),(X),(X),7810,365,6.1,2,5,2.3,9.6,2,12.3,2.8,12.8,2.5,19.3,3.4,13.7,2.6,13.8,2.9,4.6,1.4,2.8,1.2,55492,3753,68120,4334,(X),(X),68.5,(X),(X),(X),3178,298,1,1,1.9,2.1,3.3,2,9.7,3.6,9.3,2.8,22.3,5.3,19.4,4.8,20,5.3,8,3,5,2.5,76851,6306,N,N,(X),(X),(X),(X),(X),(X),5357,477,10.4,2.5,9.2,2.3,17.1,3.9,12.1,2.8,17.3,4.3,18.1,3.7,7.6,2.4,5.9,2.2,1.5,1,0.8,0.8,36060,4897,48231,6683,(X),(X),(X),(X),40.4,(X)
8600000US07018,ZCTA5 07018,10377,342,13.6,2.2,6.7,1.6,10.1,2,8.6,1.9,13.6,2.4,15.6,2.5,11.1,2.1,15.1,2.2,3.1,1.1,2.6,1,47094,3223,61595,3823,58.2,(X),(X),(X),(X),(X),5882,316,8.3,2.4,3.6,1.6,8.5,2.6,9.5,2.7,15.5,2.9,16.3,3.4,12,2.7,18.6,3.4,4.2,1.5,3.6,1.4,55322,3206,71393,5398,(X),(X),64.8,(X),(X),(X),2272,252,1.5,1.2,2.7,1.9,6.1,3.1,8.8,4,14,4.7,11.8,4.3,17.1,5.7,24.7,5.8,7.8,3.2,5.3,3.2,81939,14486,N,N,(X),(X),(X),(X),(X),(X),4495,355,21.7,4.2,11.7,3.3,12.7,3.4,7,2.6,11.9,4.2,16.6,4.1,8.4,3.2,7.3,2.8,1.4,1.4,1.3,1.2,29201,9526,44446,5024,(X),(X),(X),(X),47.7,(X)
8600000US07020,ZCTA5 07020,5751,241,7.4,2.8,2.4,1.5,3.5,1.8,3.4,1.7,3.6,1.8,8.7,2.9,12.1,3,19.1,4.1,17.5,4.3,22.1,3.7,127221,11308,151488,11694,33.1,(X),(X),(X),(X),(X),3396,225,5.1,3.9,1.3,1.6,1.2,1.2,3.4,2.5,1.9,1.4,5.5,2.8,13.1,4,21.2,6.2,17.8,5.4,29.4,5.1,146600,17288,176031,15595,(X),(X),34.4,(X),(X),(X),2838,252,2,2.6,1.6,1.9,1.5,1.4,3.1,2.8,1.7,1.5,5.5,3.2,10.4,4.4,22.6,7.2,19.1,6.7,32.5,5.9,151402,20037,N,N,(X),(X),(X),(X),(X),(X),2355,382,10.8,4.7,4,2.4,6.9,3.7,3.5,1.8,6,3.8,14,5.7,10.7,4.5,15.8,6,17.1,6.1,11.1,4.4,86815,19259,115033,18526,(X),(X),(X),(X),30.9,(X)
8600000US07021,ZCTA5 07021,765,56,0.4,0.6,0.5,0.8,1.8,1.6,2,1.4,3.5,1.7,8.6,2.4,8,3.5,12.9,3.9,9.2,2.5,53.1,4.4,213309,15229,302882,28835,37.5,(X),(X),(X),(X),(X),614,53,0.5,0.8,0,5.5,0.5,0.7,0.5,0.6,2,1.5,6.2,2.5,6.4,2.9,10.9,3.8,10.1,3.2,63,5.3,243333,21661,343278,35028,(X),(X),34,(X),(X),(X),586,52,0.5,0.8,0,5.8,0.5,0.8,0.5,0.7,2,1.6,5.1,2.3,6,3.1,8.7,3.5,10.6,3.4,66,5.1,249167,17542,N,N,(X),(X),(X),(X),(X),(X),151,35,0,20.5,2.6,4,7.3,7.1,7.9,6,9.9,6.4,18.5,7.8,14.6,9.8,21.2,10.7,5.3,5,12.6,7.2,78295,10411,138543,42189,(X),(X),(X),(X),51.7,(X)
8600000US07022,ZCTA5 07022,5236,374,4.3,2.4,6.7,3.1,10.5,2.8,7.1,3.7,10.1,4.2,25.1,6.4,13.3,3.7,10.7,3.5,4.2,2.5,7.9,3.4,57698,3162,76605,7645,48.6,(X),(X),(X),(X),(X),3373,274,2.6,2.9,1.6,1.4,7.5,3.9,6.3,4,11.9,6,25.1,7.9,15.1,5.2,16.2,5.6,6.3,4,7.5,4.1,65940,9675,86724,9790,(X),(X),55.1,(X),(X),(X),2120,298,0,1.6,0.8,1.4,4.1,3.1,5.3,5.3,12.5,7.5,24.9,9.1,17.5,7.5,16.1,7.5,7.4,4.9,11.4,6.4,83125,20904,N,N,(X),(X),(X),(X),(X),(X),1863,405,7.4,3.8,17.2,8.4,14.7,6.1,11,7.6,7.8,5.9,26.6,10.7,6,4.9,4,3.1,0,1.9,5.3,4.9,32283,20866,51655,13399,(X),(X),(X),(X),35.3,(X)
